position   Delta_Phi_plasma  Delta_Phi_capillary  Delta_Phi_dipole_l   Delta_Phi_dipole_s         Delta_Phi_total_l        Delta_Phi_total_s     L_dephasing_l   L_dephasing_s  
(mm)       (rad/pi)          (rad/pi)             (rad/pi)             (rad/pi)                   (rad/pi)                 (rad/pi)              (mm)            (mm)           
2.550000000e+00       -2.450067614e+01            -1.385056934e+00                3.225932790e+01                6.470858598e-01                      6.373594831e+00                    -2.523864721e+01                 7.937521184e-01           1.069255456e-01           
2.600000000e+00       -2.495329204e+01            -1.411692644e+00                3.280020560e+01                6.601364522e-01                      6.435220918e+00                    -2.570484823e+01                 8.113447070e-01           1.072498725e-01           
2.650000000e+00       -2.540448672e+01            -1.438328354e+00                3.333834074e+01                6.732110132e-01                      6.495525664e+00                    -2.616960406e+01                 8.291221494e-01           1.075833728e-01           
2.700000000e+00       -2.585422980e+01            -1.464964065e+00                3.387374669e+01                6.863095580e-01                      6.554552824e+00                    -2.663288431e+01                 8.470676761e-01           1.079260356e-01           
2.750000000e+00       -2.630249159e+01            -1.491599775e+00                3.440643675e+01                6.994321014e-01                      6.612345389e+00                    -2.709465926e+01                 8.651631963e-01           1.082778512e-01           
2.800000000e+00       -2.674924311e+01            -1.518235485e+00                3.493642417e+01                7.125786584e-01                      6.668945576e+00                    -2.755489994e+01                 8.833893087e-01           1.086388113e-01           
2.850000000e+00       -2.719445609e+01            -1.544871195e+00                3.546372212e+01                7.257492442e-01                      6.724394834e+00                    -2.801357805e+01                 9.017253240e-01           1.090089090e-01           
2.900000000e+00       -2.763810296e+01            -1.571506906e+00                3.598834371e+01                7.389438746e-01                      6.778733842e+00                    -2.847066600e+01                 9.201492992e-01           1.093881383e-01           
2.950000000e+00       -2.808015686e+01            -1.598142616e+00                3.651030198e+01                7.521625661e-01                      6.832002509e+00                    -2.892613691e+01                 9.386380854e-01           1.097764944e-01           
3.000000000e+00       -2.852059161e+01            -1.624778326e+00                3.702960991e+01                7.654053365e-01                      6.884239976e+00                    -2.937996460e+01                 9.571673894e-01           1.101739730e-01           
3.050000000e+00       -2.895938177e+01            -1.651414036e+00                3.754628042e+01                7.786722044e-01                      6.935484614e+00                    -2.983212360e+01                 9.757118487e-01           1.105805709e-01           
3.100000000e+00       -2.939650257e+01            -1.678049747e+00                3.806032634e+01                7.919631904e-01                      6.985774023e+00                    -3.028258912e+01                 9.942451209e-01           1.109962854e-01           
3.150000000e+00       -2.983192996e+01            -1.704685457e+00                3.857176046e+01                8.052783162e-01                      7.035145037e+00                    -3.073133710e+01                 1.012739988e+00           1.114211140e-01           
3.200000000e+00       -3.026564061e+01            -1.731321167e+00                3.908059550e+01                8.186176058e-01                      7.083633719e+00                    -3.117834417e+01                 1.031168476e+00           1.118550549e-01           
3.250000000e+00       -3.069761186e+01            -1.757956878e+00                3.958684410e+01                8.319810851e-01                      7.131275363e+00                    -3.162358766e+01                 1.049501983e+00           1.122981061e-01           
3.300000000e+00       -3.112782178e+01            -1.784592588e+00                4.009051887e+01                8.453687820e-01                      7.178104495e+00                    -3.206704559e+01                 1.067711430e+00           1.127502659e-01           
3.350000000e+00       -3.155624914e+01            -1.811228298e+00                4.059163231e+01                8.587807269e-01                      7.224154874e+00                    -3.250869671e+01                 1.085767413e+00           1.132115323e-01           
3.400000000e+00       -3.198287339e+01            -1.837864008e+00                4.109019689e+01                8.722169526e-01                      7.269459487e+00                    -3.294852045e+01                 1.103640375e+00           1.136819033e-01           
3.450000000e+00       -3.240767473e+01            -1.864499719e+00                4.158622500e+01                8.856774948e-01                      7.314050555e+00                    -3.338649695e+01                 1.121300783e+00           1.141613762e-01           
3.500000000e+00       -3.283063401e+01            -1.891135429e+00                4.207972897e+01                8.991623914e-01                      7.357959532e+00                    -3.382260705e+01                 1.138719314e+00           1.146499478e-01           
3.550000000e+00       -3.325173283e+01            -1.917771139e+00                4.257072107e+01                9.126716837e-01                      7.401217102e+00                    -3.425683229e+01                 1.155867047e+00           1.151476142e-01           
3.600000000e+00       -3.367095347e+01            -1.944406849e+00                4.305921350e+01                9.262054156e-01                      7.443853183e+00                    -3.468915490e+01                 1.172715662e+00           1.156543706e-01           
3.650000000e+00       -3.408827891e+01            -1.971042560e+00                4.354521840e+01                9.397636342e-01                      7.485896925e+00                    -3.511955784e+01                 1.189237632e+00           1.161702111e-01           
3.700000000e+00       -3.450369286e+01            -1.997678270e+00                4.402874784e+01                9.533463894e-01                      7.527376710e+00                    -3.554802474e+01                 1.205406426e+00           1.166951284e-01           
3.750000000e+00       -3.491717970e+01            -2.024313980e+00                4.450981384e+01                9.669537348e-01                      7.568320156e+00                    -3.597453995e+01                 1.221196700e+00           1.172291141e-01           
3.800000000e+00       -3.532872454e+01            -2.050949690e+00                4.498842834e+01                9.805857267e-01                      7.608754109e+00                    -3.639908851e+01                 1.236584485e+00           1.177721577e-01           
3.850000000e+00       -3.573831319e+01            -2.077585401e+00                4.546460324e+01                9.942424251e-01                      7.648704655e+00                    -3.682165616e+01                 1.251547370e+00           1.183242473e-01           
3.900000000e+00       -3.614593215e+01            -2.104221111e+00                4.593835037e+01                1.007923893e+00                      7.688197108e+00                    -3.724222936e+01                 1.266064667e+00           1.188853688e-01           
3.950000000e+00       -3.655156863e+01            -2.130856821e+00                4.640968147e+01                1.021630197e+00                      7.727256021e+00                    -3.766079525e+01                 1.280117574e+00           1.194555058e-01           
4.000000000e+00       -3.695521055e+01            -2.157492532e+00                4.687860826e+01                1.035361407e+00                      7.765905177e+00                    -3.807734168e+01                 1.293689311e+00           1.200346396e-01           
4.050000000e+00       -3.735684654e+01            -2.184128242e+00                4.734514238e+01                1.049117595e+00                      7.804167596e+00                    -3.849185719e+01                 1.306765250e+00           1.206227487e-01           
4.100000000e+00       -3.775646591e+01            -2.210763952e+00                4.780929540e+01                1.062898840e+00                      7.842065533e+00                    -3.890433103e+01                 1.319333021e+00           1.212198088e-01           
4.150000000e+00       -3.815405870e+01            -2.237399662e+00                4.827107884e+01                1.076705219e+00                      7.879620478e+00                    -3.931475315e+01                 1.331382598e+00           1.218257924e-01           
4.200000000e+00       -3.854961564e+01            -2.264035373e+00                4.873050417e+01                1.090536818e+00                      7.916853156e+00                    -3.972311420e+01                 1.342906371e+00           1.224406686e-01           
4.250000000e+00       -3.894312816e+01            -2.290671083e+00                4.918758277e+01                1.104393721e+00                      7.953783527e+00                    -4.012940553e+01                 1.353899189e+00           1.230644032e-01           
4.300000000e+00       -3.933458841e+01            -2.317306793e+00                4.964232600e+01                1.118276020e+00                      7.990430790e+00                    -4.053361919e+01                 1.364358389e+00           1.236969577e-01           
4.350000000e+00       -3.972398923e+01            -2.343942503e+00                5.009474511e+01                1.132183807e+00                      8.026813377e+00                    -4.093574793e+01                 1.374283799e+00           1.243382897e-01           
4.400000000e+00       -4.011132417e+01            -2.370578214e+00                5.054485134e+01                1.146117178e+00                      8.062948959e+00                    -4.133578520e+01                 1.383677727e+00           1.249883525e-01           
4.450000000e+00       -4.049658748e+01            -2.397213924e+00                5.099265584e+01                1.160076233e+00                      8.098854443e+00                    -4.173372517e+01                 1.392544921e+00           1.256470943e-01           
4.500000000e+00       -4.087977411e+01            -2.423849634e+00                5.143816972e+01                1.174061075e+00                      8.134545975e+00                    -4.212956267e+01                 1.400892525e+00           1.263144588e-01           
4.550000000e+00       -4.126087973e+01            -2.450485344e+00                5.188140401e+01                1.188071808e+00                      8.170038937e+00                    -4.252329327e+01                 1.408730002e+00           1.269903841e-01           
4.600000000e+00       -4.163990071e+01            -2.477121055e+00                5.232236971e+01                1.202108541e+00                      8.205347949e+00                    -4.291491322e+01                 1.416069059e+00           1.276748028e-01           
4.650000000e+00       -4.201683410e+01            -2.503756765e+00                5.276107774e+01                1.216171385e+00                      8.240486871e+00                    -4.330441948e+01                 1.422923545e+00           1.283676419e-01           
